m2,dist1,psi_theo,psi_approx,S2psi
1e-20,0.001025669746844209,1.001725848891093e-10,9.99617475634434e-11,5.443796340419837
1e-20,0.001053788935310073,1.0017434656556842e-10,9.995722492445028e-11,5.606056667678689
1e-20,0.001081690218280677,1.0017570567002947e-10,9.99523496075251e-11,5.767028735692761
1e-20,0.001108933450396679,1.0017665278599388e-10,9.994710694585076e-11,5.926848107103425
1e-20,0.0011357778180830728,1.0017717829071189e-10,9.994148210896405e-11,6.085649244493757
1e-20,0.0011623553330046832,1.0017727236810265e-10,9.993546010067789e-11,6.243565897631535
1e-20,0.0011883134898717112,1.0017692500375077e-10,9.992902575699715e-11,6.400731028094212
1e-20,0.0012143404399138826,1.0017612598701965e-10,9.992216374402827e-11,6.557276917807135
1e-20,0.0012395511236903524,1.0017486492045556e-10,9.991485855588307e-11,6.713335465981145
1e-20,0.0012647429889204476,1.0017313120845791e-10,9.990709451257734e-11,6.8690379508366
1e-20,0.0012892684652270993,1.0017091406782001e-10,9.98988557579246e-11,7.024515356148438
1e-20,0.001313815673378012,1.0016820252235115e-10,9.989012625742552e-11,7.179898286883549
1e-20,0.0013379606456745158,1.0016498540972593e-10,9.988088979615374e-11,7.335317200637943
1e-20,0.0013620330771045542,1.0016125137353054e-10,9.987112997663816e-11,7.490902256950752
1e-20,0.0013859748171635726,1.0015698886964371e-10,9.986083021674285e-11,7.6467835368017765
1e-20,0.0014094649865260909,1.001521861622521e-10,9.984997374754474e-11,7.803090994524922
1e-20,0.0014326170601942417,1.0014683132771381e-10,9.983854361120995e-11,7.959954612398326
1e-20,0.0014565301298095274,1.0014091224880324e-10,9.98265226588693e-11,8.117504306900685
1e-20,0.0014793584551955016,1.0013441662092084e-10,9.98138935484937e-11,8.275870143903553
1e-20,0.0015026581298706132,1.0012733194548505e-10,9.980063874277032e-11,8.435182222888846
1e-20,0.0015258276767581421,1.001196455334783e-10,9.978674050697966e-11,8.595570823319916
1e-20,0.0015489824807502367,1.0011134450082e-10,9.977218090687528e-11,8.757166339918339
1e-20,0.0015716132537431787,1.0010241577138274e-10,9.975694180656605e-11,8.92009941522189
1e-20,0.0015946233975844208,1.0009284607451579e-10,9.974100486640222e-11,9.08450093022252
1e-20,0.0016177100116594198,1.000826219436492e-10,9.972435154086597e-11,9.250502022790057
1e-20,0.0016412211389135861,1.000717297166373e-10,9.970696307646775e-11,9.418234150857986
1e-20,0.001664608217548439,1.000601555330315e-10,9.968882050964858e-11,9.587829076170573
1e-20,0.0016878758727635133,1.0004788533511717e-10,9.966990466468992e-11,9.759418945020352
1e-20,0.0017115032283326539,1.0003490486349511e-10,9.9650196151632e-11,9.933136227911586
1e-20,0.0017353042662187263,1.0002119966026382e-10,9.962967536420113e-11,10.109113855242468
1e-20,0.0017595821156817485,1.0000675506440663e-10,9.960832247774788e-11,10.287485151437952
1e-20,0.0017836264604723956,9.99915562127729e-11,9.958611744719651e-11,10.46838391322842
1e-20,0.0018083801213118113,9.99755880363011e-11,9.956304000500696e-11,10.651944364752447
1e-20,0.001833219779531828,9.995883526067482e-11,9.953906965915117e-11,10.83830122674543
1e-20,0.0018584664393574031,9.994128240564676e-11,9.951418569110381e-11,11.0275897509649
1e-20,0.001884486684168389,9.992291378103417e-11,9.948836715384977e-11,11.219945668238529
